"condition","node","step","level"
"IL2","CD45RO",135,1
"IL2","CD45RO",136,1
"IL2","CD45RO",137,1
"IL2","CD45RO",138,1
"IL2","CD45RO",139,1
"IL2","CD45RO",140,1
"IL2","CD45RO",141,1
"IL2","CD45RO",142,1
"IL2","CD45RO",143,1
"IL2","CD45RO",144,1
"IL2","CD45RO",145,1
"IL2","CD45RO",146,1
"IL2","CD45RO",147,1
"IL2","CD45RO",148,1
"IL2","CD45RO",149,1
"IL2","CD45RO",150,1
"IL2","CD45RO",151,1
"IL2","CD45RO",152,1
"IL2","CD45RO",153,1
"IL2","CD45RO",154,1
"IL2","CD45RO",155,1
"IL2","CD45RO",156,1
"IL2","CD45RO",157,1
"IL2","CD45RO",158,1
"IL2","CD45RO",159,1
"IL2","CD45RO",160,1
"IL2","CD45RO",161,1
"IL2","CD45RO",162,1
"IL2","CD45RO",163,1
"IL2","CD45RO",164,1
"IL2","CD45RO",165,1
"IL2","CD45RO",166,1
"IL2","CD45RO",167,1
"IL2","CD45RO",168,1
"IL2","CD45RO",169,1
"IL2","CD45RO",170,1
"IL2","CD45RO",171,1
"IL2","CD45RO",172,1
"IL2","CD45RO",173,1
"IL2","CD45RO",174,1
"IL2","CD45RO",175,1
"IL2","CD45RO",176,1
"IL2","CD45RO",177,1
"IL2","CD45RO",178,1
"IL2","CD45RO",179,1
"IL2","CD45RO",180,1
"IL2","CD45RO",181,1
"IL2","CD45RO",182,1
"IL2","CD45RO",183,1
"IL2","CD45RO",184,1
"IL2","CD45RO",185,1
"IL2","CD45RO",186,1
"IL2","CD45RO",187,1
"IL2","CD45RO",188,1
"IL2","CD45RO",189,1
"IL2","CD45RO",190,1
"IL2","CD45RO",191,1
"IL2","CD45RO",192,1
"IL2","CD45RO",193,1
"IL2","CD45RO",194,1
"IL2","CD45RO",195,1
"IL2","CD45RO",196,1
"IL2","CD45RO",197,1
"IL2","CD45RO",198,1
"IL2","CD45RO",199,1
"IL2","CD45RO",200,1
"IL2","CD28",0,1
"IL2","CD28",1,1
"IL2","CD28",2,1
"IL2","CD28",3,1
"IL2","CD28",4,1
"IL2","CD28",5,1
"IL2","CD28",6,1
"IL2","CD28",7,1
"IL2","CD28",8,1
"IL2","CD28",9,1
"IL2","CD28",10,1
"IL2","CD28",11,1
"IL2","CD28",12,1
"IL2","CD28",13,1
"IL2","CD28",14,1
"IL2","CD28",15,1
"IL2","CD28",16,1
"IL2","CD28",17,1
"IL2","CD28",18,1
"IL2","CD28",19,1
"IL2","CD28",20,1
"IL2","CD28",21,1
"IL2","CD28",22,1
"IL2","CD28",23,1
"IL2","CD28",24,1
"IL2","CD28",25,1
"IL2","CD28",26,1
"IL2","CD28",27,1
"IL2","CD28",28,1
"IL2","CD28",29,1
"IL2","CD28",30,1
"IL2","CD28",31,1
"IL2","CD28",32,1
"IL2","CD28",33,1
"IL2","CD28",34,1
"IL2","CD28",35,1
"IL2","CD28",36,1
"IL2","CD28",37,1
"IL2","CD28",38,1
"IL2","CD28",39,1
"IL2","CD28",40,1
"IL2","CD28",41,1
"IL2","CD28",42,1
"IL2","CD28",43,1
"IL2","CD28",44,1
"IL2","CD28",45,1
"IL2","CD28",46,1
"IL2","CD28",47,1
"IL2","CD28",48,1
"IL2","CD28",49,1
"IL2","CD28",50,1
"IL2","CD28",51,1
"IL2","CD28",52,1
"IL2","CD28",53,1
"IL2","CD28",54,1
"IL2","CD28",55,1
"IL2","CD28",56,1
"IL2","CD28",57,1
"IL2","CD28",58,1
"IL2","CD28",59,1
"IL2","CD28",60,1
"IL2","CD28",61,1
"IL2","CD28",62,1
"IL2","CD28",63,1
"IL2","CD28",64,1
"IL2","CD28",65,1
"IL2","CD28",66,1
"IL2","CD28",67,1
"IL2","CD28",68,1
"IL2","CD28",69,1
"IL2","CD28",70,1
"IL2","CD28",71,1
"IL2","CD28",72,1
"IL2","CD28",73,1
"IL2","CD28",74,1
"IL2","CD28",75,1
"IL2","CD28",76,1
"IL2","CD28",77,1
"IL2","CD28",78,1
"IL2","CD28",79,1
"IL2","CD28",80,1
"IL2","CD28",81,1
"IL2","CD28",82,1
"IL2","CD28",83,1
"IL2","CD28",84,1
"IL2","CD28",85,1
"IL2","CD28",86,1
"IL2","CD28",87,1
"IL2","CD28",88,1
"IL2","CD28",89,1
"IL2","CD28",90,1
"IL2","CD28",91,1
"IL2","CD28",92,1
"IL2","CD28",93,1
"IL2","CD28",94,1
"IL2","CD28",95,1
"IL2","CD28",96,1
"IL2","CD28",97,1
"IL2","CD28",98,1
"IL2","CD28",99,1
"IL2","CD28",100,1
"IL2","CD28",101,1
"IL2","CD28",102,1
"IL2","CD28",103,1
"IL2","CD28",104,1
"IL2","CD28",105,1
"IL2","CD28",106,1
"IL2","CD28",107,1
"IL2","CD28",108,1
"IL2","CD28",109,1
"IL2","CD28",110,1
"IL2","CD28",111,1
"IL2","CD28",112,1
"IL2","CD28",113,1
"IL2","CD28",114,1
"IL2","CD28",115,1
"IL2","CD28",116,1
"IL2","CD28",117,1
"IL2","CD28",118,1
